ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,ygcpop RCA,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,PUMS Degree Field,ID PUMS Degree Field,Slug PUMS Degree Field
79500US5110702,"Ashburn (Southwest/Belmont Ridge) & Dulles Airport PUMA, VA",2016,2016,TRUE,TRUE,0.76429467,743,665.703697,72285.95962,38481.01583,8,ashburn-(southwest-belmont-ridge)-&-dulles-airport-puma-va,Visual & Performing Arts,50,visual-performing-arts
79500US1600800,"Boise (South) & Kuna Cities PUMA, ID",2016,2016,TRUE,TRUE,1.433617043,1227,851.50065,26362.34556,11626.15412,12,boise-(south)-&-kuna-cities-puma-id,Visual & Performing Arts,50,visual-performing-arts
79500US0608514,"San Jose City (East Central/East Valley) PUMA, CA",2016,2016,TRUE,TRUE,0.429803127,323,439.9387482,59272.9969,50157.44786,5,san-jose-city-(east-central-east-valley)-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US1601000,"Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties PUMA, ID",2016,2016,TRUE,TRUE,1.092713361,718,652.917166,27763.54039,14037.13864,7,elmore-jerome-blaine-minidoka-gooding-lincoln-&-camas-counties-puma-id,Visual & Performing Arts,50,visual-performing-arts
79500US3704700,"Wilmington City PUMA, NC",2016,2016,TRUE,TRUE,1.750720218,1601,970.4941107,33663.76015,11806.36329,15,wilmington-city-puma-nc,Visual & Performing Arts,50,visual-performing-arts
79500US0603740,"Pico Rivera & Montebello Cities PUMA, CA",2016,2016,TRUE,TRUE,0.748877005,580,588.2297106,41236.4069,35045.05699,8,pico-rivera-&-montebello-cities-puma-ca,Visual & Performing Arts,50,visual-performing-arts
79500US1700104,"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA, IL",2016,2016,TRUE,TRUE,0.502238952,390,483.1768796,24554.66154,30784.66948,6,jo-daviess-carroll-whiteside-&-lee-counties-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US1700105,"Rock Island County PUMA, IL",2016,2016,TRUE,TRUE,0.597366457,515,554.8709645,36300.55922,11176.64395,5,rock-island-county-puma-il,Visual & Performing Arts,50,visual-performing-arts
79500US5311102,"Salmon Creek & Hazel Dell PUMA, WA",2016,2016,TRUE,TRUE,0.703636927,505,549.0535902,52288.83168,46838.8169,6,salmon-creek-&-hazel-dell-puma-wa,Visual & Performing Arts,50,visual-performing-arts
79500US3704400,"Carteret, Beaufort & Pamlico Counties PUMA, NC",2016,2016,TRUE,TRUE,0.881452365,603,599.228309,43431.55556,22053.07726,10,carteret-beaufort-&-pamlico-counties-puma-nc,Visual & Performing Arts,50,visual-performing-arts
